----	Name	$$$$	Yield	EX	PAY	Sector	industry
USOI	Credit Suisse AG	20.92	11.37	2019-06-19	2019-06-25	Finance	Investment Bankers/Brokers/Service
SBRA	Sabra Health Care REIT, Inc.	20.30	8.87	2019-05-17	2019-05-31	Consumer Services	Real Estate Investment Trusts
OPI	Office Properties Income Trust	27.91	7.88	2019-04-26	2019-05-16	Finance	Real Estate
CSWC	Capital Southwest Corporation	21.07	7.21	2019-03-14	2019-03-29	Consumer Non-Durables	Textiles
GLPI	Gaming and Leisure Properties, Inc.	39.88	6.82	2019-06-13	2019-06-28	Consumer Services	Real Estate Investment Trusts
PACW	PacWest Bancorp	38.75	6.19	2019-05-17	2019-05-31	Finance	Major Banks
ILPT	Industrial Logistics Properties Trust	21.58	6.12	2019-04-26	2019-05-16	Consumer Services	Real Estate Investment Trusts
KHC	The Kraft Heinz Company	30.99	5.16	2019-05-30	2019-06-14	Consumer Non-Durables	Packaged Foods
ARKR	Ark Restaurants Corp.	20.20	4.95	2019-06-20	2019-07-08	Consumer Services	Restaurants
CIZN	Citizens Holding Company	20.51	4.68	2019-06-13	2019-06-28	Finance	Major Banks
PDCO	Patterson Companies, Inc.	22.53	4.62	2019-04-11	2019-04-26	Health Care	Medical Specialities
FNLC	First Bancorp, Inc (ME)	26.61	4.36	2019-04-09	2019-04-30	Finance	Major Banks
VIRT	Virtu Financial, Inc.	22.31	4.30	2019-05-31	2019-06-17	Finance	Investment Bankers/Brokers/Service
HAFC	Hanmi Financial Corporation	22.53	4.26	2019-05-03	2019-05-31	Finance	Major Banks
PEBO	Peoples Bancorp Inc.	32.61	4.17	2019-05-03	2019-05-20	Finance	Major Banks
CZNC	Citizens & Northern Corp	26.15	4.13	2019-04-26	2019-05-10	Finance	Major Banks
FHB	First Hawaiian, Inc.	25.75	4.04	2019-05-24	2019-06-07	Finance	Major Banks
CBFV	CB Financial Services, Inc.	24.76	3.88	2019-06-07	2019-06-20	Finance	Major Banks
WTBA	West Bancorporation	21.69	3.87	2019-05-07	2019-05-22	Finance	Major Banks
XPER	Xperi Corporation	20.73	3.86	2019-05-28	2019-06-19	Technology	Semiconductors
SBSI	Southside Bancshares, Inc.	32.74	3.79	2019-05-22	2019-06-06	Finance	Major Banks
FFIC	Flushing Financial Corporation	22.57	3.72	2019-06-13	2019-06-28	Finance	Major Banks
CTRE	CareTrust REIT, Inc.	24.25	3.71	2019-06-27	2019-07-15	Consumer Services	Real Estate Investment Trusts
MSBI	Midland States Bancorp, Inc.	26.40	3.67	2019-05-10	2019-05-20	Finance	Major Banks
UBSI	United Bankshares, Inc.	37.40	3.64	2019-06-13	2019-07-01	Finance	Major Banks
MINI	Mobile Mini, Inc.	30.33	3.63	2019-05-14	2019-05-29	Capital Goods	Metal Fabrications
WEYS	Weyco Group, Inc.	26.66	3.60	2019-05-30	2019-06-28	Consumer Non-Durables	Apparel
EMCF	Emclaire Financial Corp	32.35	3.59	2019-05-31	2019-06-21	Finance	Major Banks
FFBC	First Financial Bancorp.	24.59	3.58	2019-05-31	2019-06-17	Finance	Major Banks
FCBP	First Choice Bancorp	22.58	3.54	2019-05-08	2019-05-23	Finance	Major Banks
ATLO	Ames National Corporation	27.10	3.54	2019-04-30	2019-05-15	Finance	Major Banks
NKSH	National Bankshares, Inc.	38.18	3.51	2019-05-24	2019-06-03	Finance	Major Banks
FISI	Financial Institutions, Inc.	28.77	3.48	2019-06-13	2019-07-02	Finance	Major Banks
CATY	Cathay General Bancorp	36.32	3.41	2019-05-31	2019-06-13	Finance	Major Banks
CVBF	CVB Financial Corporation	21.11	3.41	2019-07-02	2019-07-18	Finance	Major Banks
FITB	Fifth Third Bancorp	28.35	3.39	2019-06-27	2019-07-15	Finance	Major Banks
SASR	Sandy Spring Bancorp, Inc.	35.59	3.37	2019-05-07	2019-05-15	Finance	Major Banks
UNB	Union Bankshares, Inc.	37.00	3.35	2019-04-29	2019-05-09	Finance	Major Banks
LARK	Landmark Bancorp Inc.	23.94	3.34	2019-05-14	2019-05-29	Finance	Major Banks
NRIM	Northrim BanCorp Inc	36.21	3.31	2019-06-05	2019-06-14	Finance	Savings Institutions
IBCP	Independent Bank Corporation	22.10	3.26	2019-05-03	2019-05-15	Finance	Major Banks
WSBC	WesBanco, Inc.	38.42	3.23	2019-06-06	2019-07-01	Finance	Major Banks
GBLI	Global Indemnity Limited	31.08	3.22	2019-06-20	2019-06-28	Finance	Property-Casualty Insurers
CG	The Carlyle Group L.P.	23.66	3.21	2019-05-10	2019-05-21	Finance	Investment Managers
STND	Standard AVB Financial Corp.	27.74	3.19	2019-05-03	2019-05-20	Finance	Major Banks
MBWM	Mercantile Bank Corporation	32.74	3.18	2019-06-06	2019-06-19	Finance	Major Banks
FLIC	The First of Long Island Corporation	21.66	3.14	2019-03-11	2019-03-20	Finance	Major Banks
STLD	Steel Dynamics, Inc.	30.60	3.14	2019-06-27	2019-07-12	Basic Industries	Steel/Iron Ore
BUSE	First Busey Corporation	26.78	3.14	2019-04-17	2019-04-26	Finance	Major Banks
FRAF	Franklin Financial Services Corporation	38.30	3.13	2019-05-02	2019-05-22	Finance	Major Banks
BDGE	Bridge Bancorp, Inc.	29.39	3.13	2019-04-17	2019-04-26	Finance	Major Banks
FIBK	First Interstate BancSystem, Inc.	39.84	3.11	2019-05-10	2019-05-23	Finance	Major Banks
CLCT	Collectors Universe, Inc.	22.50	3.11	2019-05-16	2019-05-31	Miscellaneous	Business Services
OZK	Bank OZK	29.85	3.08	2019-04-12	2019-04-22	Finance	Major Banks
FGBI	First Guaranty Bancshares, Inc.	20.80	3.08	2019-06-20	2019-06-28	Finance	Savings Institutions
COLB	Columbia Banking System, Inc.	36.70	3.05	2019-05-07	2019-05-22	Finance	Major Banks
UVSP	Univest Financial Corporation	26.42	3.03	2019-06-03	2019-07-01	Finance	Major Banks
