You are now connected to database "quote" as user "pi".
 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
-------+-------------------------------------------------+--------+-------+--------+-----------------------+----------------------------------------------------------------
 GPP   | Green Plains Partners LP                        | 13.050 | 1.900 | 14.232 | Basic Industries      | Major Chemicals
 GMLP  | Golar LNG Partners LP                           | 11.700 | 1.617 | 13.552 | Consumer Services     | Marine Transportation
 SALM  | Salem Media Group, Inc.                         |  2.080 | 0.260 | 12.840 | Consumer Services     | Broadcasting
 USOI  | Credit Suisse AG                                | 20.100 | 2.378 | 11.892 | Finance               | Investment Bankers/Brokers/Service
 BGCP  | BGC Partners, Inc.                              |  5.230 | 0.560 | 10.626 | Finance               | Investment Bankers/Brokers/Service
 NCMI  | National CineMedia, Inc.                        |  7.200 | 0.680 |  9.659 | Consumer Services     | Advertising
 BGFV  | Big 5 Sporting Goods Corporation                |  2.280 | 0.200 |  9.569 | Consumer Services     | Other Specialty Stores
 PMD   | Psychemedics Corporation                        |  8.430 | 0.720 |  9.000 | Health Care           | Medical Specialities
 LMRK  | Landmark Infrastructure Partners LP             | 16.490 | 1.470 |  8.936 | Consumer Services     | Real Estate
 GLAD  | Gladstone Capital Corporation                   |  9.410 | 0.840 |  8.889 | Consumer Non-Durables | Textiles
 OPI   | Office Properties Income Trust                  | 26.970 | 2.200 |  8.076 | Finance               | Real Estate
 ADES  | Advanced Emissions Solutions, Inc.              | 12.670 | 1.000 |  7.968 | Basic Industries      | Major Chemicals
 TTS   | Tile Shop Hldgs, Inc.                           |  2.510 | 0.200 |  7.905 | Consumer Services     | Home Furnishings
 BBBY  | Bed Bath & Beyond Inc.                          |  9.200 | 0.680 |  7.556 | Consumer Services     | Home Furnishings
 IPHS  | Innophos Holdings, Inc.                         | 25.520 | 1.920 |  7.188 | Consumer Durables     | Specialty Chemicals
 CRWS  | Crown Crafts, Inc.                              |  4.720 | 0.320 |  6.957 | Basic Industries      | Textiles
 SPKE  | Spark Energy, Inc.                              | 11.020 | 0.725 |  6.682 | Public Utilities      | Power Generation
 PETS  | PetMed Express, Inc.                            | 16.340 | 1.080 |  6.667 | Health Care           | Medical/Nursing Services
 PACW  | PacWest Bancorp                                 | 35.790 | 2.400 |  6.534 | Finance               | Major Banks
 BBGI  | Beasley Broadcast Group, Inc.                   |  3.150 | 0.200 |  6.231 | Consumer Services     | Broadcasting
 ESBK  | Elmira Savings Bank NY (The)                    | 14.758 | 0.920 |  6.170 | Finance               | Major Banks
 WSTG  | Wayside Technology Group, Inc.                  | 11.273 | 0.680 |  6.034 | Technology            | Retail: Computer Software & Peripheral Equipment
 TFSL  | TFS Financial Corporation                       | 17.610 | 1.000 |  5.711 | Finance               | Savings Institutions
 ORIT  | Oritani Financial Corp.                         | 17.360 | 1.000 |  5.650 | Finance               | Major Banks
 UG    | United-Guardian, Inc.                           | 19.480 | 1.100 |  5.618 | Consumer Non-Durables | Package Goods/Cosmetics
 TESS  | TESSCO Technologies Incorporated                | 13.640 | 0.800 |  5.606 | Technology            | Electronic Components
 RILY  | B. Riley Financial, Inc.                        | 20.430 | 0.320 |  5.597 | Miscellaneous         | Business Services
 PDCO  | Patterson Companies, Inc.                       | 19.240 | 1.040 |  5.358 | Health Care           | Medical Specialities
 ODP   | Office Depot, Inc.                              |  1.860 | 0.100 |  5.348 | Consumer Services     | Other Specialty Stores
 RMCF  | Rocky Mountain Chocolate Factory, Inc.          |  8.926 | 0.480 |  5.339 | Consumer Non-Durables | Specialty Foods
 KFFB  | Kentucky First Federal Bancorp                  |  7.600 | 0.400 |  5.263 | Finance               | Savings Institutions
 ARKR  | Ark Restaurants Corp.                           | 20.070 | 1.000 |  5.195 | Consumer Services     | Restaurants
 UMPQ  | Umpqua Holdings Corporation                     | 16.380 | 0.840 |  5.054 | Finance               | Savings Institutions
 GPRE  | Green Plains, Inc.                              |  9.180 | 0.480 |  5.031 | Basic Industries      | Major Chemicals
 LYTS  | LSI Industries Inc.                             |  4.100 | 0.200 |  4.963 | Consumer Durables     | Building Products
 FLXS  | Flexsteel Industries, Inc.                      | 17.440 | 0.880 |  4.949 | Consumer Durables     | Home Furnishings
 KHC   | The Kraft Heinz Company                         | 32.210 | 1.600 |  4.919 | Consumer Non-Durables | Packaged Foods
 GT    | The Goodyear Tire & Rubber Company              | 12.730 | 0.640 |  4.841 | Consumer Durables     | Automotive Aftermarket
 UBCP  | United Bancorp, Inc.                            | 11.400 | 0.540 |  4.800 | Finance               | Major Banks
 PCTI  | PC-Tel, Inc.                                    |  4.640 | 0.220 |  4.762 | Technology            | Radio And Television Broadcasting And Communications Equipment
 KINS  | Kingstone Companies, Inc                        |  8.410 | 0.400 |  4.756 | Finance               | Property-Casualty Insurers
 FNLC  | First Bancorp, Inc (ME)                         | 25.520 | 1.200 |  4.706 | Finance               | Major Banks
 GLDI  | Credit Suisse AG                                |  9.130 | 0.425 |  4.704 | Finance               | Investment Bankers/Brokers/Service
 HAFC  | Hanmi Financial Corporation                     | 20.480 | 0.960 |  4.660 | Finance               | Major Banks
