 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 GMLP  | Golar LNG Partners LP                           | 11.700 | 1.617 | 17.182 | Consumer Services     | Marine Transportation
 SALM  | Salem Media Group, Inc.                         |  2.080 | 0.260 | 15.569 | Consumer Services     | Broadcasting
 GPP   | Green Plains Partners LP                        | 13.050 | 1.900 | 14.449 | Basic Industries      | Major Chemicals
 USOI  | Credit Suisse AG                                | 20.100 | 2.378 | 11.952 | Finance               | Investment Bankers/Brokers/Service
 BGFV  | Big 5 Sporting Goods Corporation                |  2.280 | 0.200 | 11.765 | Consumer Services     | Other Specialty Stores
 BGCP  | BGC Partners, Inc.                              |  5.230 | 0.560 | 11.429 | Finance               | Investment Bankers/Brokers/Service
 NCMI  | National CineMedia, Inc.                        |  7.200 | 0.680 | 10.287 | Consumer Services     | Advertising
 RILY  | B. Riley Financial, Inc.                        | 20.430 | 0.700 |  9.862 | Miscellaneous         | Business Services
 PMD   | Psychemedics Corporation                        |  8.430 | 0.720 |  9.626 | Health Care           | Medical Specialities
 BBBY  | Bed Bath & Beyond Inc.                          |  9.200 | 0.680 |  9.189 | Consumer Services     | Home Furnishings
 GLAD  | Gladstone Capital Corporation                   |  9.410 | 0.840 |  9.091 | Consumer Non-Durables | Textiles
 LMRK  | Landmark Infrastructure Partners LP             | 16.490 | 1.470 |  9.057 | Consumer Services     | Real Estate
 TTS   | Tile Shop Hldgs, Inc.                           |  2.510 | 0.200 |  8.547 | Consumer Services     | Home Furnishings
 ADES  | Advanced Emissions Solutions, Inc.              | 12.670 | 1.000 |  8.410 | Basic Industries      | Major Chemicals
 OPI   | Office Properties Income Trust                  | 26.970 | 2.200 |  8.172 | Finance               | Real Estate
 CG    | The Carlyle Group L.P.                          | 22.950 | 1.720 |  8.163 | Finance               | Investment Managers
 ODP   | Office Depot, Inc.                              |  1.860 | 0.100 |  7.407 | Consumer Services     | Other Specialty Stores
 IPHS  | Innophos Holdings, Inc.                         | 25.520 | 1.920 |  7.376 | Consumer Durables     | Specialty Chemicals
 PACW  | PacWest Bancorp                                 | 35.790 | 2.400 |  7.326 | Finance               | Major Banks
 SPKE  | Spark Energy, Inc.                              | 11.020 | 0.725 |  6.911 | Public Utilities      | Power Generation
 PETS  | PetMed Express, Inc.                            | 16.340 | 1.080 |  6.888 | Health Care           | Medical/Nursing Services
 GPRE  | Green Plains, Inc.                              |  9.180 | 0.480 |  6.713 | Basic Industries      | Major Chemicals
 KHC   | The Kraft Heinz Company                         | 32.210 | 1.600 |  6.385 | Consumer Non-Durables | Packaged Foods
 BBGI  | Beasley Broadcast Group, Inc.                   |  3.150 | 0.200 |  6.349 | Consumer Services     | Broadcasting
 ESBK  | Elmira Savings Bank NY (The)                    | 14.758 | 0.920 |  6.327 | Finance               | Major Banks
 PDCO  | Patterson Companies, Inc.                       | 19.240 | 1.040 |  6.246 | Health Care           | Medical Specialities
 CRWS  | Crown Crafts, Inc.                              |  4.720 | 0.320 |  6.095 | Basic Industries      | Textiles
 ORIT  | Oritani Financial Corp.                         | 17.360 | 1.000 |  6.068 | Finance               | Major Banks
 UG    | United-Guardian, Inc.                           | 19.480 | 1.100 |  5.819 | Consumer Non-Durables | Package Goods/Cosmetics
 GT    | The Goodyear Tire & Rubber Company              | 12.730 | 0.640 |  5.761 | Consumer Durables     | Automotive Aftermarket
 TESS  | TESSCO Technologies Incorporated                | 13.640 | 0.800 |  5.686 | Technology            | Electronic Components
 TFSL  | TFS Financial Corporation                       | 17.610 | 1.000 |  5.682 | Finance               | Savings Institutions
 UMPQ  | Umpqua Holdings Corporation                     | 16.380 | 0.840 |  5.497 | Finance               | Savings Institutions
 FLXS  | Flexsteel Industries, Inc.                      | 17.440 | 0.880 |  5.386 | Consumer Durables     | Home Furnishings
 HAFC  | Hanmi Financial Corporation                     | 20.480 | 0.960 |  5.384 | Finance               | Major Banks
 RMCF  | Rocky Mountain Chocolate Factory, Inc.          |  8.926 | 0.480 |  5.300 | Consumer Non-Durables | Specialty Foods
 KFFB  | Kentucky First Federal Bancorp                  |  7.600 | 0.400 |  5.224 | Finance               | Savings Institutions
 MERC  | Mercer International Inc.                       | 12.330 | 0.550 |  5.160 | Basic Industries      | Paper
 WSTG  | Wayside Technology Group, Inc.                  | 11.273 | 0.680 |  5.155 | Technology            | Retail: Computer Software & Peripheral Equipment
