 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 USOI  | Credit Suisse AG                                | 20.058 | 3.883 | 19.272 | Finance               | Investment Bankers/Brokers/Service
 SALM  | Salem Media Group, Inc.                         |  1.470 | 0.260 | 17.687 | Consumer Services     | Broadcasting
 GMLP  | Golar LNG Partners LP                           |  9.810 | 1.617 | 16.217 | Consumer Services     | Marine Transportation
 GPP   | Green Plains Partners LP                        | 12.930 | 1.900 | 14.351 | Basic Industries      | Major Chemicals
 GLDI  | Credit Suisse AG                                |  9.337 | 1.063 | 11.482 | Finance               | Investment Bankers/Brokers/Service
 BGCP  | BGC Partners, Inc.                              |  5.100 | 0.560 | 11.067 | Finance               | Investment Bankers/Brokers/Service
 BGFV  | Big 5 Sporting Goods Corporation                |  1.790 | 0.200 | 10.695 | Consumer Services     | Other Specialty Stores
 PMD   | Psychemedics Corporation                        |  7.800 | 0.720 |  9.639 | Health Care           | Medical Specialities
 RILY  | B. Riley Financial, Inc.                        | 21.160 | 0.700 |  9.565 | Miscellaneous         | Business Services
 LMRK  | Landmark Infrastructure Partners LP             | 15.100 | 1.470 |  9.478 | Consumer Services     | Real Estate
 GLAD  | Gladstone Capital Corporation                   |  9.320 | 0.840 |  8.974 | Consumer Non-Durables | Textiles
 NCMI  | National CineMedia, Inc.                        |  8.200 | 0.680 |  8.395 | Consumer Services     | Advertising
 SLVO  | Credit Suisse AG                                |  7.390 | 0.606 |  8.256 | Finance               | Investment Bankers/Brokers/Service
 OPI   | Office Properties Income Trust                  | 27.110 | 2.200 |  8.082 | Finance               | Real Estate
 ADES  | Advanced Emissions Solutions, Inc.              | 12.620 | 1.000 |  7.868 | Basic Industries      | Major Chemicals
 SPKE  | Spark Energy, Inc.                              |  9.460 | 0.725 |  7.616 | Public Utilities      | Power Generation
 CG    | The Carlyle Group L.P.                          | 22.780 | 1.720 |  7.491 | Finance               | Investment Managers
 ODP   | Office Depot, Inc.                              |  1.300 | 0.100 |  7.463 | Consumer Services     | Other Specialty Stores
 TTS   | Tile Shop Hldgs, Inc.                           |  2.690 | 0.200 |  7.380 | Consumer Services     | Home Furnishings
 BMLP  | Bank Of Montreal                                | 47.810 | 3.477 |  7.292 | Finance               | Commercial Banks
 BBBY  | Bed Bath & Beyond Inc.                          |  9.670 | 0.680 |  7.173 | Consumer Services     | Home Furnishings
 PACW  | PacWest Bancorp                                 | 34.080 | 2.400 |  7.069 | Finance               | Major Banks
 PETS  | PetMed Express, Inc.                            | 15.800 | 1.080 |  6.968 | Health Care           | Medical/Nursing Services
 IPHS  | Innophos Holdings, Inc.                         | 28.090 | 1.920 |  6.727 | Consumer Durables     | Specialty Chemicals
 GOGL  | Golden Ocean Group Limited                      |  6.200 | 0.400 |  6.612 | Consumer Services     | Marine Transportation
 ESBK  | Elmira Savings Bank NY (The)                    | 14.090 | 0.920 |  6.486 | Finance               | Major Banks
 BBGI  | Beasley Broadcast Group, Inc.                   |  3.050 | 0.200 |  6.473 | Consumer Services     | Broadcasting
 KHC   | The Kraft Heinz Company                         | 25.520 | 1.600 |  6.317 | Consumer Non-Durables | Packaged Foods
 PDCO  | Patterson Companies, Inc.                       | 16.720 | 1.040 |  6.209 | Health Care           | Medical Specialities
 NVEC  | NVE Corporation                                 | 64.200 | 4.000 |  6.202 | Technology            | Semiconductors
 CRWS  | Crown Crafts, Inc.                              |  5.360 | 0.320 |  6.178 | Basic Industries      | Textiles
 FLXS  | Flexsteel Industries, Inc.                      | 15.140 | 0.880 |  6.150 | Consumer Durables     | Home Furnishings
 TFSL  | TFS Financial Corporation                       | 17.510 | 1.080 |  6.081 | Finance               | Savings Institutions
 GPRE  | Green Plains, Inc.                              |  8.210 | 0.480 |  6.068 | Basic Industries      | Major Chemicals
 ORIT  | Oritani Financial Corp.                         | 17.130 | 1.000 |  5.828 | Finance               | Major Banks
 UG    | United-Guardian, Inc.                           | 18.910 | 1.100 |  5.720 | Consumer Non-Durables | Package Goods/Cosmetics
 HNNA  | Hennessy Advisors, Inc.                         |  9.910 | 0.550 |  5.589 | Finance               | Investment Managers
 GT    | The Goodyear Tire & Rubber Company              | 11.470 | 0.640 |  5.570 | Consumer Durables     | Automotive Aftermarket
 HAFC  | Hanmi Financial Corporation                     | 17.910 | 0.960 |  5.427 | Finance               | Major Banks
 UMPQ  | Umpqua Holdings Corporation                     | 15.710 | 0.840 |  5.392 | Finance               | Savings Institutions
 TESS  | TESSCO Technologies Incorporated                | 14.780 | 0.800 |  5.270 | Technology            | Electronic Components
 KFFB  | Kentucky First Federal Bancorp                  |  7.603 | 0.400 |  5.261 | Finance               | Savings Institutions
 VIRT  | Virtu Financial, Inc.                           | 18.800 | 0.960 |  5.235 | Finance               | Investment Bankers/Brokers/Service
 GLNG  | Golar LNG Limited                               | 11.710 | 0.600 |  5.213 | Consumer Services     | Marine Transportation
 RMCF  | Rocky Mountain Chocolate Factory, Inc.          |  9.320 | 0.480 |  5.178 | Consumer Non-Durables | Specialty Foods
 NAVI  | Navient Corporation                             | 12.740 | 0.640 |  5.008 | Finance               | Investment Bankers/Brokers/Service
 PBCT  | People&#39;s United Financial, Inc.             | 14.370 | 0.710 |  4.944 | Finance               | Savings Institutions
 ARKR  | Ark Restaurants Corp.                           | 20.149 | 1.000 |  4.938 | Consumer Services     | Restaurants
 CIZN  | Citizens Holding Company                        | 20.100 | 0.960 |  4.861 | Finance               | Major Banks
 WSTG  | Wayside Technology Group, Inc.                  | 13.850 | 0.680 |  4.857 | Technology            | Retail: Computer Software & Peripheral Equipment
 UBCP  | United Bancorp, Inc.                            | 11.450 | 0.540 |  4.843 | Finance               | Major Banks
 ESCA  | Escalade, Incorporated                          | 10.330 | 0.500 |  4.831 | Consumer Non-Durables | Recreational Products/Toys
 FNLC  | First Bancorp, Inc (ME)                         | 25.400 | 1.200 |  4.806 | Finance               | Major Banks
 KEQU  | Kewaunee Scientific Corporation                 | 16.080 | 0.760 |  4.795 | Capital Goods         | Medical Specialities
 SAMG  | Silvercrest Asset Management Group Inc.         | 13.070 | 0.600 |  4.710 | Finance               | Investment Managers
 NMRK  | Newmark Group, Inc.                             |  8.680 | 0.400 |  4.646 | Finance               | Real Estate
 LYTS  | LSI Industries Inc.                             |  4.470 | 0.200 |  4.619 | Consumer Durables     | Building Products
 PWOD  | Penns Woods Bancorp, Inc.                       | 41.290 | 1.880 |  4.598 | Finance               | Major Banks
 CZNC  | Citizens & Northern Corp                        | 23.720 | 1.080 |  4.576 | Finance               | Major Banks
 BPFH  | Boston Private Financial Holdings, Inc.         | 10.620 | 0.480 |  4.550 | Finance               | Major Banks
 UNB   | Union Bankshares, Inc.                          | 27.440 | 1.240 |  4.541 | Finance               | Major Banks
 MERC  | Mercer International Inc.                       | 12.040 | 0.550 |  4.538 | Basic Industries      | Paper
 NWBI  | Northwest Bancshares, Inc.                      | 15.810 | 0.720 |  4.534 | Finance               | Major Banks
 MEOH  | Methanex Corporation                            | 32.460 | 1.440 |  4.518 | Basic Industries      | Major Chemicals
 BCBP  | BCB Bancorp, Inc. (NJ)                          | 12.360 | 0.560 |  4.491 | Finance               | Savings Institutions
 NNBR  | NN, Inc.                                        |  6.420 | 0.280 |  4.480 | Capital Goods         | Metal Fabrications
 MBTF  | M B T Financial Corp                            |  9.840 | 0.440 |  4.467 | Finance               | Major Banks
 PEBO  | Peoples Bancorp Inc.                            | 30.710 | 1.360 |  4.427 | Finance               | Major Banks
 CSPI  | CSP Inc.                                        | 13.646 | 0.600 |  4.416 | Technology            | EDP Services
 XPER  | Xperi Corporation                               | 18.320 | 0.800 |  4.398 | Technology            | Semiconductors
 TAIT  | Taitron Components Incorporated                 |  2.770 | 0.120 |  4.396 | Technology            | Electronic Components
 WASH  | Washington Trust Bancorp, Inc.                  | 46.400 | 2.040 |  4.368 | Finance               | Major Banks
 SPOK  | Spok Holdings, Inc.                             | 11.750 | 0.500 |  4.352 | Public Utilities      | Telecommunications Equipment
 FFIC  | Flushing Financial Corporation                  | 19.290 | 0.840 |  4.339 | Finance               | Major Banks
 UBFO  | United Security Bancshares                      | 10.380 | 0.440 |  4.259 | Finance               | Major Banks
 HBAN  | Huntington Bancshares Incorporated              | 13.250 | 0.560 |  4.236 | Finance               | Major Banks
 VLY   | Valley National Bancorp                         | 10.510 | 0.440 |  4.207 | Finance               | Major Banks
 TIVO  | TiVo Corporation                                |  7.530 | 0.320 |  4.189 | Miscellaneous         | Multi-Sector Companies
 HOPE  | Hope Bancorp, Inc.                              | 13.410 | 0.560 |  4.176 | Finance               | Major Banks
 RELL  | Richardson Electronics, Ltd.                    |  5.840 | 0.240 |  4.174 | Technology            | Electronic Components
 BSET  | Bassett Furniture Industries, Incorporated      | 12.180 | 0.500 |  4.125 | Consumer Durables     | Home Furnishings
 HTBK  | Heritage Commerce Corp                          | 11.590 | 0.480 |  4.124 | Finance               | Major Banks
 SGA   | Saga Communications, Inc.                       | 28.540 | 1.200 |  4.121 | Consumer Services     | Broadcasting
 FHB   | First Hawaiian, Inc.                            | 25.700 | 1.040 |  4.091 | Finance               | Major Banks
 LCNB  | LCNB Corporation                                | 16.770 | 0.680 |  4.087 | Finance               | Major Banks
 CCOI  | Cogent Communications Holdings, Inc.            | 60.890 | 2.480 |  4.083 | Consumer Services     | Telecommunications Equipment
 PFG   | Principal Financial Group Inc                   | 53.220 | 2.160 |  4.060 | Finance               | Accident &Health Insurance
 WTBA  | West Bancorporation                             | 20.840 | 0.840 |  4.044 | Finance               | Major Banks
 DGICA | Donegal Group, Inc.                             | 14.430 | 0.580 |  4.022 | Finance               | Property-Casualty Insurers
 VLGEA | Village Super Market, Inc.                      | 24.970 | 1.000 |  4.016 | Consumer Services     | Food Chains
 NTAP  | NetApp, Inc.                                    | 48.060 | 1.920 |  4.008 | Technology            | Electronic Components
 RIVE  | Riverview Financial Corporation                 |  9.966 | 0.400 |  4.000 | Finance               | Major Banks
 NKSH  | National Bankshares, Inc.                       | 33.500 | 1.340 |  3.992 | Finance               | Major Banks
 ISBC  | Investors Bancorp, Inc.                         | 11.100 | 0.440 |  3.975 | Finance               | Major Banks
 FFBC  | First Financial Bancorp.                        | 23.420 | 0.920 |  3.966 | Finance               | Major Banks
