Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,25.79,0.4,1.5742,08/06/2019,08/21/2019,
AAON,AAON Inc.,47.07,0.32,0.7053,05/31/2019,07/01/2019,
AAPL,Apple Inc.,206.5,3.08,1.5267,08/09/2019,08/15/2019,
AAXJ,iShares Trust,64.5,0.822308,1.297,06/17/2019,06/21/2019,
ABCB,Ameris Bancorp,36.43,0.4,1.1348,06/27/2019,07/10/2019,
ABDC,Alcentra Capital Corp.,8.84,0.72,14.9153,06/27/2019,07/03/2019,
ACNB,ACNB Corporation,35.05,1,2.8986,05/30/2019,06/14/2019,
ACWI,iShares Trust,71.24,1.812514,2.579,06/17/2019,06/21/2019,
ACWX,iShares Trust,44.16,1.57141,3.6025,06/17/2019,06/21/2019,
ADES,Advanced Emissions Solutions Inc.,11.76,1,8.4104,08/16/2019,09/06/2019,
ADI,Analog Devices Inc.,110.52,2.16,1.9917,05/30/2019,06/11/2019,
ADP,Automatic Data Processing Inc.,167.02,3.16,1.9143,06/13/2019,07/01/2019,
ADRA,Invesco BLDRS Index Funds Trust,29.85,0.91512,3.118,06/24/2019,07/31/2019,
ADRD,Invesco BLDRS Index Funds Trust,20.3329,1.08988,5.4223,06/24/2019,07/31/2019,
ADRE,Invesco BLDRS Index Funds Trust,37.8,0.82624,2.2241,06/24/2019,07/31/2019,
ADRU,Invesco BLDRS Index Funds Trust,19.7638,1.06912,5.4575,06/24/2019,07/31/2019,
ADTN,ADTRAN Inc.,10.75,0.36,3.3994,07/31/2019,08/15/2019,
AFIN,American Finance Trust Inc.,12.28,1.1,8.9869,08/07/2019,08/15/2019,
AGNC,AGNC Investment Corp.,16.23,1.92,11.8959,07/30/2019,08/09/2019,
AGND,WisdomTree Trust,40.4197,1.26,3.1211,07/23/2019,07/26/2019,
AGZD,WisdomTree Trust,47.65,1.38,2.8972,07/23/2019,07/26/2019,
AIA,iShares Trust,56.18,0.836816,1.5127,06/17/2019,06/21/2019,
AIMC,Altra Industrial Motion Corp.,24.55,0.68,2.8357,06/17/2019,07/02/2019,
AIQ,Global X Funds,15.7798,0.108784,0.7019,06/27/2019,07/08/2019,
ALCO,Alico Inc.,31.97,0.24,0.7467,06/27/2019,07/12/2019,
ALGT,Allegiant Travel Company,142.81,2.8,1.9874,06/13/2019,06/27/2019,
ALOT,AstroNova Inc.,22.72,0.28,1.2422,06/14/2019,06/24/2019,
ALTY,Global X Funds,14.6677,1.1772,8.1411,08/05/2019,08/13/2019,
AMAL,Amalgamated Bank,15.49,0.24,1.6,08/14/2019,08/30/2019,
AMAT,Applied Materials Inc.,46.63,0.84,1.7812,05/22/2019,06/13/2019,
AMCA,iShares Trust,27.91,0.57014,2.071,06/17/2019,06/21/2019,
AMGN,Amgen Inc.,204.02,5.8,2.91,08/14/2019,09/06/2019,
AMNB,American National Bankshares Inc.,35.3,1,2.8969,06/06/2019,06/21/2019,
AMOT,Allied Motion Technologies Inc.,33.97,0.12,0.3616,08/14/2019,08/28/2019,
AMRB,American River Bankshares,13.16,0.28,2.1374,07/30/2019,08/14/2019,
AMSF,AMERISAFE Inc.,68.83,1,1.4819,06/06/2019,06/21/2019,
AMSWA,American Software Inc.,13.98,0.44,3.2305,08/15/2019,08/30/2019,
